Municipality,Total_SHI_units,Census_2010_Yr_Round_Housing_Units,Percent_Subsidized
Wayland,317,4957,6.39
Webster,722,7788,9.27
Wellesley,615,9090,6.77
Wellfleet,30,1550,1.94
Wendell,5,419,1.19
Wenham,118,1404,8.4
West Boylston,223,2729,8.17
West Bridgewater,121,2658,4.55
West Brookfield,68,1578,4.31
West Newbury,39,1558,2.5
West Springfield,429,12629,3.4
West Stockbridge,0,645,0
West Tisbury,23,1253,1.84
Westborough,971,7304,13.29
Westfield,1158,16001,7.24
Westford,1056,7671,13.77
Westhampton,17,635,2.68
Westminster,87,2826,3.08
Weston,169,3952,4.28
Westport,232,6417,3.62
Westwood,588,5389,10.91
Weymouth,1771,23337,7.59
Whately,2,654,0.31
Whitman,200,5513,3.63
Wilbraham,305,5442,5.6
Williamsburg,51,1165,4.38
Williamstown,201,2805,7.17
Wilmington,799,7788,10.26
Winchendon,331,4088,8.1
Winchester,244,7920,3.08
Windsor,0,387,0
Winthrop,638,8253,7.73
Woburn,1411,16237,8.69
Worcester,9961,74383,13.39
Worthington,22,553,3.98
Wrentham,485,3821,12.69
Yarmouth,596,12037,4.95
